Disease,City,State,Date,Population_Affected,Number_of_Deaths,Survived,Doctors_Available,Hospitals_Available
Heat Stroke,Jammu,Chandigarh,2018-01-01,2223,170,2053,179,10
Heat Stroke,Jammu,Chandigarh,2018-02-01,2222,193,2029,94,5
Heat Stroke,Jammu,Chandigarh,2018-03-01,3658,227,3431,113,6
Heat Stroke,Jammu,Chandigarh,2018-04-01,3054,284,2770,104,5
Heat Stroke,Jammu,Chandigarh,2018-05-01,3363,205,3158,139,5
Heat Stroke,Jammu,Chandigarh,2018-06-01,3896,170,3726,123,3
Heat Stroke,Jammu,Chandigarh,2018-07-01,2153,107,2046,104,3
Heat Stroke,Jammu,Chandigarh,2018-08-01,1776,87,1689,180,10
Heat Stroke,Jammu,Chandigarh,2018-09-01,1142,39,1103,11,3
Heat Stroke,Jammu,Chandigarh,2018-10-01,1490,145,1345,170,1
Heat Stroke,Jammu,Chandigarh,2018-11-01,4989,292,4697,153,5
Heat Stroke,Jammu,Chandigarh,2018-12-01,4267,225,4042,13,8
Heat Stroke,Jammu,Chandigarh,2019-01-01,785,48,737,154,8
Heat Stroke,Jammu,Chandigarh,2019-02-01,823,112,711,160,1
Heat Stroke,Jammu,Chandigarh,2019-03-01,3244,55,3189,135,8
Heat Stroke,Jammu,Chandigarh,2019-04-01,3332,84,3248,27,10
Heat Stroke,Jammu,Chandigarh,2019-05-01,3334,32,3302,141,3
Heat Stroke,Jammu,Chandigarh,2019-06-01,2255,97,2158,158,4
Heat Stroke,Jammu,Chandigarh,2019-07-01,2429,138,2291,77,1
Heat Stroke,Jammu,Chandigarh,2019-08-01,3037,110,2927,129,10
Heat Stroke,Jammu,Chandigarh,2019-09-01,2713,93,2620,88,1
Heat Stroke,Jammu,Chandigarh,2019-10-01,78,0,78,151,4
Heat Stroke,Jammu,Chandigarh,2019-11-01,2289,81,2208,90,7
Heat Stroke,Jammu,Chandigarh,2019-12-01,1455,85,1370,77,3
Heat Stroke,Jammu,Chandigarh,2020-01-01,2832,233,2599,104,2
Heat Stroke,Jammu,Chandigarh,2020-02-01,4989,348,4641,38,5
Heat Stroke,Jammu,Chandigarh,2020-03-01,3090,233,2857,99,10
Heat Stroke,Jammu,Chandigarh,2020-04-01,2177,177,2000,125,4
Heat Stroke,Jammu,Chandigarh,2020-05-01,3834,223,3611,151,4
Heat Stroke,Jammu,Chandigarh,2020-06-01,3245,147,3098,119,2
Heat Stroke,Jammu,Chandigarh,2020-07-01,3161,87,3074,33,6
Heat Stroke,Jammu,Chandigarh,2020-08-01,3411,131,3280,175,7
Heat Stroke,Jammu,Chandigarh,2020-09-01,4989,173,4816,179,3
Heat Stroke,Jammu,Chandigarh,2020-10-01,1080,77,1003,112,6
Heat Stroke,Jammu,Chandigarh,2020-11-01,3233,194,3039,68,3
Heat Stroke,Jammu,Chandigarh,2020-12-01,1355,95,1260,79,1
Heat Stroke,Jammu,Chandigarh,2021-01-01,3343,54,3289,96,6
Heat Stroke,Jammu,Chandigarh,2021-02-01,1365,125,1240,120,10
Heat Stroke,Jammu,Chandigarh,2021-03-01,2038,76,1962,91,1
Heat Stroke,Jammu,Chandigarh,2021-04-01,2202,39,2163,62,5
Heat Stroke,Jammu,Chandigarh,2021-05-01,3906,145,3761,158,9
Heat Stroke,Jammu,Chandigarh,2021-06-01,3830,442,3388,119,5
Heat Stroke,Jammu,Chandigarh,2021-07-01,926,35,891,53,1
Heat Stroke,Jammu,Chandigarh,2021-08-01,2671,108,2563,121,5
Heat Stroke,Jammu,Chandigarh,2021-09-01,1645,73,1572,114,9
Heat Stroke,Jammu,Chandigarh,2021-10-01,909,41,868,70,3
Heat Stroke,Jammu,Chandigarh,2021-11-01,2306,63,2243,167,5
Heat Stroke,Jammu,Chandigarh,2021-12-01,2184,118,2066,113,2
Heat Stroke,Jammu,Chandigarh,2022-01-01,4989,405,4584,95,5
Heat Stroke,Jammu,Chandigarh,2022-02-01,3178,188,2990,102,6
Heat Stroke,Jammu,Chandigarh,2022-03-01,749,13,736,129,5
Heat Stroke,Jammu,Chandigarh,2022-04-01,1840,73,1767,103,4
Heat Stroke,Jammu,Chandigarh,2022-05-01,3968,134,3834,102,6
Heat Stroke,Jammu,Chandigarh,2022-06-01,4989,257,4732,161,7
Heat Stroke,Jammu,Chandigarh,2022-07-01,470,41,429,34,7
Heat Stroke,Jammu,Chandigarh,2022-08-01,78,0,78,42,4
Heat Stroke,Jammu,Chandigarh,2022-09-01,4989,237,4752,146,3
Heat Stroke,Jammu,Chandigarh,2022-10-01,3120,317,2803,200,10
Heat Stroke,Jammu,Chandigarh,2022-11-01,1433,108,1325,151,5
Heat Stroke,Jammu,Chandigarh,2022-12-01,3315,221,3094,200,4
Heat Stroke,Jammu,Chandigarh,2023-01-01,78,0,78,84,1
Heat Stroke,Jammu,Chandigarh,2023-02-01,2602,167,2435,74,2
Heat Stroke,Jammu,Chandigarh,2023-03-01,3037,0,3037,129,3
Heat Stroke,Jammu,Chandigarh,2023-04-01,3837,285,3552,155,6
Heat Stroke,Jammu,Chandigarh,2023-05-01,1237,4,1233,39,4
Heat Stroke,Jammu,Chandigarh,2023-06-01,2712,171,2541,95,5
Heat Stroke,Jammu,Chandigarh,2023-07-01,1356,0,1356,105,1
Heat Stroke,Jammu,Chandigarh,2023-08-01,2940,107,2833,72,9
Heat Stroke,Jammu,Chandigarh,2023-09-01,1396,55,1341,78,3
Heat Stroke,Jammu,Chandigarh,2023-10-01,2050,56,1994,149,6
Heat Stroke,Jammu,Chandigarh,2023-11-01,1262,50,1212,130,3
Heat Stroke,Jammu,Chandigarh,2023-12-01,3471,278,3193,147,4
Heat Stroke,Jammu,Chandigarh,2024-01-01,3749,109,3640,123,3
Heat Stroke,Jammu,Chandigarh,2024-02-01,2283,150,2133,62,6
Heat Stroke,Jammu,Chandigarh,2024-03-01,2649,58,2591,128,2
Heat Stroke,Jammu,Chandigarh,2024-04-01,654,29,625,58,6
Heat Stroke,Jammu,Chandigarh,2024-05-01,2195,130,2065,90,4
Heat Stroke,Jammu,Chandigarh,2024-06-01,2530,53,2477,53,7
Heat Stroke,Jammu,Chandigarh,2024-07-01,4989,59,4930,75,7
Heat Stroke,Jammu,Chandigarh,2024-08-01,1106,71,1035,111,4
Heat Stroke,Jammu,Chandigarh,2024-09-01,4562,377,4185,83,6
Heat Stroke,Jammu,Chandigarh,2024-10-01,3935,187,3748,61,4
Heat Stroke,Jammu,Chandigarh,2024-11-01,2974,109,2865,164,9
Heat Stroke,Jammu,Chandigarh,2024-12-01,4957,270,4687,100,4
Heat Stroke,Jammu,Chandigarh,2025-01-01,3097,160,2937,79,4
Heat Stroke,Jammu,Chandigarh,2025-02-01,3119,178,2941,51,3
Heat Stroke,Jammu,Chandigarh,2025-03-01,2526,0,2526,11,3
Heat Stroke,Jammu,Chandigarh,2025-04-01,4239,80,4159,95,10
Heat Stroke,Jammu,Chandigarh,2025-05-01,4068,103,3965,36,6
Heat Stroke,Jammu,Chandigarh,2025-06-01,1758,95,1663,142,5
Heat Stroke,Jammu,Chandigarh,2025-07-01,828,45,783,108,3
Heat Stroke,Jammu,Chandigarh,2025-08-01,2325,159,2166,186,8
Heat Stroke,Jammu,Chandigarh,2025-09-01,1524,87,1437,118,3
Heat Stroke,Jammu,Chandigarh,2025-10-01,2512,30,2482,69,5
Heat Stroke,Jammu,Chandigarh,2025-11-01,4257,392,3865,11,10
Heat Stroke,Jammu,Chandigarh,2025-12-01,1984,172,1812,147,2
Heat Stroke,Jammu,Himachal Pradesh,2018-01-01,2540,34,2506,40,6
Heat Stroke,Jammu,Himachal Pradesh,2018-02-01,2675,159,2516,85,6
Heat Stroke,Jammu,Himachal Pradesh,2018-03-01,3736,122,3614,191,6
Heat Stroke,Jammu,Himachal Pradesh,2018-04-01,78,0,78,137,4
Heat Stroke,Jammu,Himachal Pradesh,2018-05-01,1784,144,1640,126,3
Heat Stroke,Jammu,Himachal Pradesh,2018-06-01,2881,322,2559,154,5
Heat Stroke,Jammu,Himachal Pradesh,2018-07-01,4207,302,3905,152,3
Heat Stroke,Jammu,Himachal Pradesh,2018-08-01,1938,113,1825,187,1
Heat Stroke,Jammu,Himachal Pradesh,2018-09-01,80,2,78,76,2
Heat Stroke,Jammu,Himachal Pradesh,2018-10-01,3429,189,3240,87,4
Heat Stroke,Jammu,Himachal Pradesh,2018-11-01,1745,156,1589,59,2
Heat Stroke,Jammu,Himachal Pradesh,2018-12-01,1001,48,953,105,5
Heat Stroke,Jammu,Himachal Pradesh,2019-01-01,1760,42,1718,99,3
Heat Stroke,Jammu,Himachal Pradesh,2019-02-01,2350,6,2344,17,5
Heat Stroke,Jammu,Himachal Pradesh,2019-03-01,1786,116,1670,73,10
Heat Stroke,Jammu,Himachal Pradesh,2019-04-01,78,0,78,180,8
Heat Stroke,Jammu,Himachal Pradesh,2019-05-01,3801,118,3683,119,7
Heat Stroke,Jammu,Himachal Pradesh,2019-06-01,4308,344,3964,143,10
Heat Stroke,Jammu,Himachal Pradesh,2019-07-01,3471,131,3340,100,5
Heat Stroke,Jammu,Himachal Pradesh,2019-08-01,1071,49,1022,11,5
Heat Stroke,Jammu,Himachal Pradesh,2019-09-01,2327,115,2212,100,2
Heat Stroke,Jammu,Himachal Pradesh,2019-10-01,2589,103,2486,159,9
Heat Stroke,Jammu,Himachal Pradesh,2019-11-01,3401,193,3208,46,10
Heat Stroke,Jammu,Himachal Pradesh,2019-12-01,3494,292,3202,144,7
Heat Stroke,Jammu,Himachal Pradesh,2020-01-01,1613,27,1586,20,9
Heat Stroke,Jammu,Himachal Pradesh,2020-02-01,2707,174,2533,107,1
Heat Stroke,Jammu,Himachal Pradesh,2020-03-01,3211,176,3035,134,10
Heat Stroke,Jammu,Himachal Pradesh,2020-04-01,4550,248,4302,90,5
Heat Stroke,Jammu,Himachal Pradesh,2020-05-01,3543,267,3276,200,10
Heat Stroke,Jammu,Himachal Pradesh,2020-06-01,3656,188,3468,81,10
Heat Stroke,Jammu,Himachal Pradesh,2020-07-01,2710,173,2537,77,7
Heat Stroke,Jammu,Himachal Pradesh,2020-08-01,4490,318,4172,117,4
Heat Stroke,Jammu,Himachal Pradesh,2020-09-01,3147,111,3036,68,5
Heat Stroke,Jammu,Himachal Pradesh,2020-10-01,1442,84,1358,33,1
Heat Stroke,Jammu,Himachal Pradesh,2020-11-01,4480,191,4289,50,8
Heat Stroke,Jammu,Himachal Pradesh,2020-12-01,3534,163,3371,145,1
Heat Stroke,Jammu,Himachal Pradesh,2021-01-01,2003,81,1922,91,4
Heat Stroke,Jammu,Himachal Pradesh,2021-02-01,1954,124,1830,193,9
Heat Stroke,Jammu,Himachal Pradesh,2021-03-01,2995,157,2838,84,7
Heat Stroke,Jammu,Himachal Pradesh,2021-04-01,3219,198,3021,142,1
Heat Stroke,Jammu,Himachal Pradesh,2021-05-01,2862,141,2721,132,1
Heat Stroke,Jammu,Himachal Pradesh,2021-06-01,3015,10,3005,83,3
Heat Stroke,Jammu,Himachal Pradesh,2021-07-01,4878,248,4630,61,5
Heat Stroke,Jammu,Himachal Pradesh,2021-08-01,4035,209,3826,18,7
Heat Stroke,Jammu,Himachal Pradesh,2021-09-01,2853,162,2691,134,7
Heat Stroke,Jammu,Himachal Pradesh,2021-10-01,3860,126,3734,167,2
Heat Stroke,Jammu,Himachal Pradesh,2021-11-01,1212,18,1194,25,7
Heat Stroke,Jammu,Himachal Pradesh,2021-12-01,3131,213,2918,87,7
Heat Stroke,Jammu,Himachal Pradesh,2022-01-01,4989,210,4779,72,6
Heat Stroke,Jammu,Himachal Pradesh,2022-02-01,2305,126,2179,134,10
Heat Stroke,Jammu,Himachal Pradesh,2022-03-01,1460,61,1399,89,7
Heat Stroke,Jammu,Himachal Pradesh,2022-04-01,1723,85,1638,174,8
Heat Stroke,Jammu,Himachal Pradesh,2022-05-01,1136,42,1094,87,10
Heat Stroke,Jammu,Himachal Pradesh,2022-06-01,1545,33,1512,43,7
Heat Stroke,Jammu,Himachal Pradesh,2022-07-01,2100,134,1966,82,3
Heat Stroke,Jammu,Himachal Pradesh,2022-08-01,712,23,689,88,8
Heat Stroke,Jammu,Himachal Pradesh,2022-09-01,2618,143,2475,133,4
Heat Stroke,Jammu,Himachal Pradesh,2022-10-01,3808,236,3572,87,2
Heat Stroke,Jammu,Himachal Pradesh,2022-11-01,1380,45,1335,129,2
Heat Stroke,Jammu,Himachal Pradesh,2022-12-01,4636,69,4567,66,8
Heat Stroke,Jammu,Himachal Pradesh,2023-01-01,3283,396,2887,91,7
Heat Stroke,Jammu,Himachal Pradesh,2023-02-01,3980,138,3842,66,8
Heat Stroke,Jammu,Himachal Pradesh,2023-03-01,1715,116,1599,63,7
Heat Stroke,Jammu,Himachal Pradesh,2023-04-01,3744,398,3346,171,5
Heat Stroke,Jammu,Himachal Pradesh,2023-05-01,1133,82,1051,70,6
Heat Stroke,Jammu,Himachal Pradesh,2023-06-01,3792,156,3636,89,7
Heat Stroke,Jammu,Himachal Pradesh,2023-07-01,2828,136,2692,159,3
Heat Stroke,Jammu,Himachal Pradesh,2023-08-01,3340,86,3254,144,1
Heat Stroke,Jammu,Himachal Pradesh,2023-09-01,1020,77,943,190,3
Heat Stroke,Jammu,Himachal Pradesh,2023-10-01,1397,92,1305,131,6
Heat Stroke,Jammu,Himachal Pradesh,2023-11-01,3399,119,3280,76,3
Heat Stroke,Jammu,Himachal Pradesh,2023-12-01,1325,26,1299,200,10
Heat Stroke,Jammu,Himachal Pradesh,2024-01-01,3219,37,3182,136,6
Heat Stroke,Jammu,Himachal Pradesh,2024-02-01,763,60,703,98,5
Heat Stroke,Jammu,Himachal Pradesh,2024-03-01,3735,200,3535,109,3
Heat Stroke,Jammu,Himachal Pradesh,2024-04-01,944,53,891,115,7
Heat Stroke,Jammu,Himachal Pradesh,2024-05-01,3338,87,3251,94,1
Heat Stroke,Jammu,Himachal Pradesh,2024-06-01,3437,25,3412,36,6
Heat Stroke,Jammu,Himachal Pradesh,2024-07-01,1663,129,1534,189,4
Heat Stroke,Jammu,Himachal Pradesh,2024-08-01,3378,173,3205,105,5
Heat Stroke,Jammu,Himachal Pradesh,2024-09-01,2947,225,2722,116,6
Heat Stroke,Jammu,Himachal Pradesh,2024-10-01,1875,72,1803,200,1
Heat Stroke,Jammu,Himachal Pradesh,2024-11-01,1244,53,1191,71,1
Heat Stroke,Jammu,Himachal Pradesh,2024-12-01,78,0,78,140,2
Heat Stroke,Jammu,Himachal Pradesh,2025-01-01,3066,218,2848,66,7
Heat Stroke,Jammu,Himachal Pradesh,2025-02-01,498,36,462,123,6
Heat Stroke,Jammu,Himachal Pradesh,2025-03-01,2725,113,2612,116,4
Heat Stroke,Jammu,Himachal Pradesh,2025-04-01,2244,152,2092,146,10
Heat Stroke,Jammu,Himachal Pradesh,2025-05-01,3508,288,3220,168,9
Heat Stroke,Jammu,Himachal Pradesh,2025-06-01,2192,103,2089,77,8
Heat Stroke,Jammu,Himachal Pradesh,2025-07-01,2155,75,2080,178,3
Heat Stroke,Jammu,Himachal Pradesh,2025-08-01,3579,319,3260,182,8
Heat Stroke,Jammu,Himachal Pradesh,2025-09-01,3047,94,2953,93,6
Heat Stroke,Jammu,Himachal Pradesh,2025-10-01,3022,206,2816,106,3
Heat Stroke,Jammu,Himachal Pradesh,2025-11-01,3227,156,3071,81,5
Heat Stroke,Jammu,Himachal Pradesh,2025-12-01,537,0,537,91,2
Heat Stroke,Jammu,Jammu & Kashmir,2018-01-01,3613,299,3314,45,3
Heat Stroke,Jammu,Jammu & Kashmir,2018-02-01,3419,0,3419,146,1
Heat Stroke,Jammu,Jammu & Kashmir,2018-03-01,1234,0,1234,11,8
Heat Stroke,Jammu,Jammu & Kashmir,2018-04-01,2270,148,2122,71,5
Heat Stroke,Jammu,Jammu & Kashmir,2018-05-01,2545,166,2379,104,2
Heat Stroke,Jammu,Jammu & Kashmir,2018-06-01,2417,76,2341,172,6
Heat Stroke,Jammu,Jammu & Kashmir,2018-07-01,3045,165,2880,78,5
Heat Stroke,Jammu,Jammu & Kashmir,2018-08-01,4518,0,4518,128,8
Heat Stroke,Jammu,Jammu & Kashmir,2018-09-01,4049,286,3763,102,5
Heat Stroke,Jammu,Jammu & Kashmir,2018-10-01,837,47,790,154,1
Heat Stroke,Jammu,Jammu & Kashmir,2018-11-01,3432,167,3265,125,3
Heat Stroke,Jammu,Jammu & Kashmir,2018-12-01,4380,221,4159,149,1
Heat Stroke,Jammu,Jammu & Kashmir,2019-01-01,3116,200,2916,78,6
Heat Stroke,Jammu,Jammu & Kashmir,2019-02-01,4061,199,3862,55,8
Heat Stroke,Jammu,Jammu & Kashmir,2019-03-01,4989,20,4969,125,1
Heat Stroke,Jammu,Jammu & Kashmir,2019-04-01,3971,442,3529,81,4
Heat Stroke,Jammu,Jammu & Kashmir,2019-05-01,2932,249,2683,108,8
Heat Stroke,Jammu,Jammu & Kashmir,2019-06-01,3999,50,3949,122,1
Heat Stroke,Jammu,Jammu & Kashmir,2019-07-01,2792,111,2681,169,4
Heat Stroke,Jammu,Jammu & Kashmir,2019-08-01,2629,113,2516,146,5
Heat Stroke,Jammu,Jammu & Kashmir,2019-09-01,2126,173,1953,72,8
Heat Stroke,Jammu,Jammu & Kashmir,2019-10-01,4695,0,4695,48,6
Heat Stroke,Jammu,Jammu & Kashmir,2019-11-01,1499,53,1446,193,7
Heat Stroke,Jammu,Jammu & Kashmir,2019-12-01,4653,0,4653,26,7
Heat Stroke,Jammu,Jammu & Kashmir,2020-01-01,3268,136,3132,83,4
Heat Stroke,Jammu,Jammu & Kashmir,2020-02-01,720,26,694,139,10
Heat Stroke,Jammu,Jammu & Kashmir,2020-03-01,3091,161,2930,190,3
Heat Stroke,Jammu,Jammu & Kashmir,2020-04-01,78,0,78,97,1
Heat Stroke,Jammu,Jammu & Kashmir,2020-05-01,3437,96,3341,108,1
Heat Stroke,Jammu,Jammu & Kashmir,2020-06-01,3785,257,3528,62,4
Heat Stroke,Jammu,Jammu & Kashmir,2020-07-01,1803,114,1689,113,4
Heat Stroke,Jammu,Jammu & Kashmir,2020-08-01,2763,182,2581,48,3
Heat Stroke,Jammu,Jammu & Kashmir,2020-09-01,4989,224,4765,68,5
Heat Stroke,Jammu,Jammu & Kashmir,2020-10-01,1919,64,1855,145,8
Heat Stroke,Jammu,Jammu & Kashmir,2020-11-01,1177,54,1123,84,6
Heat Stroke,Jammu,Jammu & Kashmir,2020-12-01,4585,296,4289,153,7
Heat Stroke,Jammu,Jammu & Kashmir,2021-01-01,4989,20,4969,98,2
Heat Stroke,Jammu,Jammu & Kashmir,2021-02-01,2602,160,2442,36,3
Heat Stroke,Jammu,Jammu & Kashmir,2021-03-01,3954,233,3721,166,7
Heat Stroke,Jammu,Jammu & Kashmir,2021-04-01,4397,228,4169,39,5
Heat Stroke,Jammu,Jammu & Kashmir,2021-05-01,1601,73,1528,76,6
Heat Stroke,Jammu,Jammu & Kashmir,2021-06-01,1946,0,1946,96,7
Heat Stroke,Jammu,Jammu & Kashmir,2021-07-01,4249,158,4091,157,5
Heat Stroke,Jammu,Jammu & Kashmir,2021-08-01,4858,442,4416,79,9
Heat Stroke,Jammu,Jammu & Kashmir,2021-09-01,3353,169,3184,59,3
Heat Stroke,Jammu,Jammu & Kashmir,2021-10-01,1417,58,1359,114,2
Heat Stroke,Jammu,Jammu & Kashmir,2021-11-01,4989,252,4737,95,1
Heat Stroke,Jammu,Jammu & Kashmir,2021-12-01,1885,113,1772,82,7
Heat Stroke,Jammu,Jammu & Kashmir,2022-01-01,2148,148,2000,117,3
Heat Stroke,Jammu,Jammu & Kashmir,2022-02-01,3057,132,2925,45,8
Heat Stroke,Jammu,Jammu & Kashmir,2022-03-01,4682,292,4390,18,6
Heat Stroke,Jammu,Jammu & Kashmir,2022-04-01,3743,370,3373,200,4
Heat Stroke,Jammu,Jammu & Kashmir,2022-05-01,3154,250,2904,112,2
Heat Stroke,Jammu,Jammu & Kashmir,2022-06-01,3219,380,2839,115,7
Heat Stroke,Jammu,Jammu & Kashmir,2022-07-01,2656,82,2574,66,5
Heat Stroke,Jammu,Jammu & Kashmir,2022-08-01,3346,330,3016,152,6
Heat Stroke,Jammu,Jammu & Kashmir,2022-09-01,78,0,78,79,7
Heat Stroke,Jammu,Jammu & Kashmir,2022-10-01,2200,132,2068,11,6
Heat Stroke,Jammu,Jammu & Kashmir,2022-11-01,2921,208,2713,77,2
Heat Stroke,Jammu,Jammu & Kashmir,2022-12-01,1053,37,1016,92,6
Heat Stroke,Jammu,Jammu & Kashmir,2023-01-01,3116,163,2953,98,7
Heat Stroke,Jammu,Jammu & Kashmir,2023-02-01,2323,177,2146,96,6
Heat Stroke,Jammu,Jammu & Kashmir,2023-03-01,4952,145,4807,73,7
Heat Stroke,Jammu,Jammu & Kashmir,2023-04-01,4708,442,4266,68,7
Heat Stroke,Jammu,Jammu & Kashmir,2023-05-01,1973,19,1954,91,4
Heat Stroke,Jammu,Jammu & Kashmir,2023-06-01,2395,255,2140,22,4
Heat Stroke,Jammu,Jammu & Kashmir,2023-07-01,2498,197,2301,11,10
Heat Stroke,Jammu,Jammu & Kashmir,2023-08-01,1992,94,1898,111,9
Heat Stroke,Jammu,Jammu & Kashmir,2023-09-01,2859,109,2750,112,5
Heat Stroke,Jammu,Jammu & Kashmir,2023-10-01,1580,55,1525,151,7
Heat Stroke,Jammu,Jammu & Kashmir,2023-11-01,1081,49,1032,93,2
Heat Stroke,Jammu,Jammu & Kashmir,2023-12-01,3433,167,3266,45,3
Heat Stroke,Jammu,Jammu & Kashmir,2024-01-01,3442,298,3144,11,1
Heat Stroke,Jammu,Jammu & Kashmir,2024-02-01,1518,162,1356,61,6
Heat Stroke,Jammu,Jammu & Kashmir,2024-03-01,3799,212,3587,128,6
Heat Stroke,Jammu,Jammu & Kashmir,2024-04-01,1750,44,1706,180,8
Heat Stroke,Jammu,Jammu & Kashmir,2024-05-01,2937,100,2837,109,4
Heat Stroke,Jammu,Jammu & Kashmir,2024-06-01,3698,165,3533,44,8
Heat Stroke,Jammu,Jammu & Kashmir,2024-07-01,2552,51,2501,61,7
Heat Stroke,Jammu,Jammu & Kashmir,2024-08-01,3207,50,3157,63,10
Heat Stroke,Jammu,Jammu & Kashmir,2024-09-01,1905,211,1694,86,10
Heat Stroke,Jammu,Jammu & Kashmir,2024-10-01,2334,137,2197,163,9
Heat Stroke,Jammu,Jammu & Kashmir,2024-11-01,2321,59,2262,167,7
Heat Stroke,Jammu,Jammu & Kashmir,2024-12-01,1596,117,1479,97,2
Heat Stroke,Jammu,Jammu & Kashmir,2025-01-01,2360,37,2323,116,6
Heat Stroke,Jammu,Jammu & Kashmir,2025-02-01,520,9,511,66,10
Heat Stroke,Jammu,Jammu & Kashmir,2025-03-01,1939,51,1888,19,6
Heat Stroke,Jammu,Jammu & Kashmir,2025-04-01,2215,217,1998,197,2
Heat Stroke,Jammu,Jammu & Kashmir,2025-05-01,2254,96,2158,11,6
Heat Stroke,Jammu,Jammu & Kashmir,2025-06-01,2273,0,2273,13,2
Heat Stroke,Jammu,Jammu & Kashmir,2025-07-01,2515,214,2301,198,2
Heat Stroke,Jammu,Jammu & Kashmir,2025-08-01,3241,133,3108,107,6
Heat Stroke,Jammu,Jammu & Kashmir,2025-09-01,3771,0,3771,49,7
Heat Stroke,Jammu,Jammu & Kashmir,2025-10-01,1726,70,1656,141,3
Heat Stroke,Jammu,Jammu & Kashmir,2025-11-01,983,64,919,146,3
Heat Stroke,Jammu,Jammu & Kashmir,2025-12-01,1199,74,1125,38,1
Heat Stroke,Jammu,Haryana,2018-01-01,1944,199,1745,79,4
Heat Stroke,Jammu,Haryana,2018-02-01,2125,53,2072,151,1
Heat Stroke,Jammu,Haryana,2018-03-01,1564,80,1484,65,4
Heat Stroke,Jammu,Haryana,2018-04-01,859,25,834,121,5
Heat Stroke,Jammu,Haryana,2018-05-01,1986,10,1976,179,1
Heat Stroke,Jammu,Haryana,2018-06-01,2841,215,2626,11,2
Heat Stroke,Jammu,Haryana,2018-07-01,3396,215,3181,89,5
Heat Stroke,Jammu,Haryana,2018-08-01,1850,107,1743,120,4
Heat Stroke,Jammu,Haryana,2018-09-01,2043,127,1916,15,4
Heat Stroke,Jammu,Haryana,2018-10-01,1354,40,1314,79,6
Heat Stroke,Jammu,Haryana,2018-11-01,2555,53,2502,159,1
Heat Stroke,Jammu,Haryana,2018-12-01,1459,74,1385,70,7
Heat Stroke,Jammu,Haryana,2019-01-01,3366,282,3084,31,4
Heat Stroke,Jammu,Haryana,2019-02-01,202,19,183,164,3
Heat Stroke,Jammu,Haryana,2019-03-01,2115,154,1961,129,1
Heat Stroke,Jammu,Haryana,2019-04-01,3001,152,2849,103,4
Heat Stroke,Jammu,Haryana,2019-05-01,2844,164,2680,101,6
Heat Stroke,Jammu,Haryana,2019-06-01,4989,251,4738,159,5
Heat Stroke,Jammu,Haryana,2019-07-01,3067,61,3006,121,5
Heat Stroke,Jammu,Haryana,2019-08-01,1250,63,1187,139,4
Heat Stroke,Jammu,Haryana,2019-09-01,2469,27,2442,71,5
Heat Stroke,Jammu,Haryana,2019-10-01,215,9,206,11,2
Heat Stroke,Jammu,Haryana,2019-11-01,2489,243,2246,138,5
Heat Stroke,Jammu,Haryana,2019-12-01,1480,109,1371,162,3
Heat Stroke,Jammu,Haryana,2020-01-01,3825,88,3737,95,2
Heat Stroke,Jammu,Haryana,2020-02-01,1860,89,1771,151,7
Heat Stroke,Jammu,Haryana,2020-03-01,2441,62,2379,89,1
Heat Stroke,Jammu,Haryana,2020-04-01,1745,84,1661,102,6
Heat Stroke,Jammu,Haryana,2020-05-01,4930,396,4534,195,7
Heat Stroke,Jammu,Haryana,2020-06-01,2166,149,2017,91,3
Heat Stroke,Jammu,Haryana,2020-07-01,4989,442,4547,88,8
Heat Stroke,Jammu,Haryana,2020-08-01,3690,312,3378,11,3
Heat Stroke,Jammu,Haryana,2020-09-01,3244,181,3063,141,3
Heat Stroke,Jammu,Haryana,2020-10-01,3092,215,2877,70,1
Heat Stroke,Jammu,Haryana,2020-11-01,3126,138,2988,114,5
Heat Stroke,Jammu,Haryana,2020-12-01,78,0,78,90,2
Heat Stroke,Jammu,Haryana,2021-01-01,2223,195,2028,83,3
Heat Stroke,Jammu,Haryana,2021-02-01,3731,296,3435,100,5
Heat Stroke,Jammu,Haryana,2021-03-01,2532,109,2423,104,5
Heat Stroke,Jammu,Haryana,2021-04-01,712,41,671,166,8
Heat Stroke,Jammu,Haryana,2021-05-01,2527,217,2310,184,8
Heat Stroke,Jammu,Haryana,2021-06-01,4883,364,4519,139,6
Heat Stroke,Jammu,Haryana,2021-07-01,4270,31,4239,171,4
Heat Stroke,Jammu,Haryana,2021-08-01,2514,143,2371,150,4
Heat Stroke,Jammu,Haryana,2021-09-01,3874,175,3699,131,5
Heat Stroke,Jammu,Haryana,2021-10-01,2106,173,1933,180,3
Heat Stroke,Jammu,Haryana,2021-11-01,312,24,288,40,3
Heat Stroke,Jammu,Haryana,2021-12-01,1357,120,1237,71,5
Heat Stroke,Jammu,Haryana,2022-01-01,4694,82,4612,64,2
Heat Stroke,Jammu,Haryana,2022-02-01,2230,60,2170,91,2
Heat Stroke,Jammu,Haryana,2022-03-01,2271,187,2084,141,8
Heat Stroke,Jammu,Haryana,2022-04-01,2195,72,2123,49,1
Heat Stroke,Jammu,Haryana,2022-05-01,4989,28,4961,132,2
Heat Stroke,Jammu,Haryana,2022-06-01,4779,313,4466,76,9
Heat Stroke,Jammu,Haryana,2022-07-01,4989,170,4819,89,4
Heat Stroke,Jammu,Haryana,2022-08-01,2384,243,2141,116,9
Heat Stroke,Jammu,Haryana,2022-09-01,2994,175,2819,192,1
